Time [s], Analyzer Name, Decoded Protocol Result
0.083350312500000,I2C,Setup Write to [0xC0] + ACK
0.083373875000000,I2C,0xDC + ACK
0.083397375000000,I2C,0x59 + ACK
0.083426187500000,I2C,Setup Write to [0xC0] + ACK
0.083449750000000,I2C,0xDC + ACK
0.083473250000000,I2C,0x59 + ACK
0.083502062500000,I2C,Setup Write to [0xC0] + ACK
0.083525625000000,I2C,0xBC + ACK
0.083549187500000,I2C,0xC7 + ACK
0.083577937500000,I2C,Setup Write to [0xC0] + ACK
0.083601500000000,I2C,0xBB + ACK
0.083625062500000,I2C,0x0C + ACK
